#1	
float BMP_Qch4(571,5)
129	2	4.9	3.3	3.35
130	2	4.7	3.3	3.4
131	2.1	4.75	3.2	3.45
132	2.1	4.65	3.2	3.45
133	2.1	4.55	3.2	3.4
134	2.1	4.5	3.2	3.4
135	2	4.45	3.2	3.4
136	2	4.45	3.2	3.3
137	2	4.55	3.2	3.25
138	2	4.55	3.2	3.2
139	2.1	4.6	3.2	3.15
140	2.2	4.7	3.2	3.1
141	2.2	4.75	3.15	2.85
142	2.2	4.65	3.05	2.8
143	2	4.6	3	2.6
144	1.9	4.55	2.95	2.6
145	1.9	4.5	2.95	2.5
146	1.9	4.5	2.95	2.45
147	1.9	4.35	2.9	2.4
148	1.8	4.2	2.85	2.4
149	1.8	3.95	2.8	2.35
150	1.8	3.95	2.8	2.35
151	1.8	4	2.8	2.35
152	1.7	3.95	2.8	2.35
153	1.7	3.85	2.8	2.4
154	1.7	3.85	2.8	2.35
155	1.7	3.65	2.75	2.35
156	1.7	3.6	2.75	2.35
157	1.8	3.55	2.75	2.35
158	1.8	3.4	2.7	2.3
159	1.8	3.3	2.7	2.3
160	1.8	3.15	2.65	2.35
161	1.8	3.05	2.65	2.35
162	1.8	2.95	2.65	2.3
163	1.8	2.95	2.65	2.3
164	1.8	2.95	2.65	2.35
165	1.8	2.95	2.65	2.35
166	1.7	2.8	2.6	2.35
167	1.7	2.7	2.55	2.35
168	1.7	2.7	2.55	2.35
169	1.7	2.65	2.5	2.25
170	1.7	2.55	2.45	2.25
171	1.6	2.5	2.45	2.25
172	1.6	2.45	2.45	2.25
173	1.6	2.4	2.4	2.25
174	1.6	2.35	2.4	2.25
175	1.6	2.35	2.4	2.25
176	1.5	2.3	2.35	2.25
177	1.5	2.3	2.35	2.2
178	1.5	2.3	2.35	2.25
179	1.5	2.3	2.35	2.25
180	1.5	2.15	2.3	2.25
181	1.5	2.15	2.3	2.25
182	1.6	2.15	2.3	2.25
183	1.6	2.15	2.3	2.3
184	1.6	2.05	2.3	2.35
185	1.6	2.05	2.3	2.3
186	1.6	2.05	2.3	2.3
187	1.6	2.05	2.3	2.3
188	1.6	2.1	2.3	2.4
189	1.6	2.05	2.3	2.4
190	1.6	2.05	2.25	2.35
191	1.6	2	2.15	2.3
192	1.4	1.9	2.15	2.3
193	1.4	1.85	2.15	2.3
194	1.4	1.85	2.15	2.3
195	1.4	1.85	2.1	2.3
196	1.4	1.8	2.1	2.3
197	1.4	1.75	2.1	2.3
198	1.4	1.75	2.1	2.35
199	1.4	1.75	2.1	2.35
200	1.4	1.8	2.15	2.35
201	1.4	1.8	2.15	2.4
202	1.4	1.8	2.1	2.45
203	1.3	1.8	2.05	2.45
204	1.3	1.75	2.05	2.45
205	1.3	1.7	2.05	2.45
206	1.3	1.7	2	2.4
207	1.3	1.65	2	2.4
208	1.3	1.65	2	2.4
209	1.3	1.65	2	2.6
210	1.4	1.7	2.1	2.6
211	1.4	1.7	2.1	2.6
212	1.4	1.7	2.15	2.65
213	1.4	1.7	2.15	2.65
214	1.4	1.7	2.1	2.65
215	1.4	1.65	2.1	2.65
216	1.3	1.65	2.05	2.65
217	1.3	1.6	2.05	2.65
218	1.3	1.6	2	2.65
219	1.3	1.6	2	2.7
220	1.3	1.6	2	2.7
221	1.3	1.6	2	2.65
222	1.3	1.6	2	2.7
223	1.3	1.6	2	2.7
224	1.3	1.55	1.95	2.75
225	1.3	1.55	1.95	2.8
226	1.3	1.55	2	2.8
227	1.3	1.55	2	2.85
228	1.3	1.7	2.05	3.1
229	1.4	2	2.1	3.1
230	1.4	2.05	2.1	3
231	1.4	2.05	2.1	3
232	1.4	2	2.1	3
233	1.4	1.65	2.1	3.1
234	1.4	1.65	2.1	3.2
235	1.6	1.65	2.15	3.2
236	1.6	1.65	2.1	3.2
237	1.6	1.65	2.1	3.15
238	1.6	1.65	2.05	3.15
239	1.6	1.65	2.05	3.1
240	1.4	1.65	2	3.15
241	1.4	1.65	1.95	3.15
242	1.4	1.65	1.9	3.15
243	1.4	1.6	1.9	3.2
244	1.4	1.6	1.9	3.25
245	1.4	1.6	2.05	3.3
246	1.4	1.6	2.15	3.3
247	1.4	1.6	2.15	3.45
248	1.4	1.75	2.15	3.45
249	1.4	1.8	2.1	3.4
250	1.4	1.8	2.15	3.4
251	1.4	1.8	2.15	3.5
252	1.5	1.85	2.15	3.8
253	1.6	2	2.3	3.9
254	1.6	2.05	2.35	3.9
255	1.6	2.05	2.35	4
256	1.6	2.1	2.4	4.05
257	1.8	2.25	2.65	4.2
258	2	2.3	2.65	4.3
259	2	2.3	2.65	4.35
260	2	2.45	2.8	4.5
261	2	2.6	2.85	4.5
262	2.1	2.6	2.9	4.65
263	2.1	2.6	3	4.7
264	2.1	2.7	3	4.5
265	2.1	2.75	3.05	4.5
266	2	2.8	3.1	4.5
267	2	2.75	3.1	4.5
268	2	2.75	2.85	4.25
269	1.4	2.3	2.5	3.55
270	0.1	1.95	2.35	3.3
271	0.1	1.7	1.4	2.95
272	0.1	1.7	1.25	2.15
273	0.1	1.65	0.65	1.8
274	0.1	0.95	0.65	1.8
275	0.1	0.5	0.65	1.7
276	0.1	0.15	0.65	1.1
277	0.1	0.15	0.65	1.1
278	0.1	0.15	0.65	1.1
279	0.1	0.15	0.65	1.1
280	0.1	0.15	0.65	1.1
281	0.1	0.15	0.65	1.15
282	0.1	0.15	1.15	1.45
283	0.1	0.15	1.15	1.6
284	0.1	0.15	1.15	1.6
285	0.1	0.15	1.2	1.6
286	0.1	0.15	1.2	1.65
287	0.1	0.15	0.95	1.65
288	0.1	0.15	0.95	1.6
289	0.1	0.15	0.95	1.4
290	0.1	0.15	0.95	1.35
291	0.1	0.15	0.95	1.35
292	0.1	0.15	0.95	1.35
293	0.1	0.15	0.95	1.35
294	0.1	0.15	0.9	1.3
295	0.1	0.15	0.7	1.3
296	0.1	0.15	0.65	1.3
297	0.1	0.15	0.65	1.25
298	0.1	0.15	0.65	1.15
299	0.1	0.15	0.65	1.15
300	0.1	0.15	0.65	1.15
301	0.1	0.15	0.65	1.15
302	0.1	0.15	0.65	1.2
303	0.1	0.15	0.65	1.4
304	0.1	0.15	0.65	1.4
305	0.1	0.15	0.65	1.4
306	0.1	0.15	0.65	1.45
307	0.1	0.15	0.85	1.55
308	0.1	0.15	1.05	1.55
309	0.1	0.15	1.1	1.55
310	0.1	0.15	1.1	1.5
311	0.1	0.15	1.1	1.5
312	0.1	0.15	1.1	1.4
313	0.1	0.15	1	1.35
314	0.1	0.2	0.85	1.25
315	0.1	0.2	0.85	1.2
316	0.1	0.2	0.85	1.2
317	0.1	0.2	0.75	1.2
318	0.1	0.2	0.7	1.2
319	0.1	0.2	0.7	1.2
320	0.1	0.2	0.7	1.2
321	0.1	0.2	0.7	1.2
322	0.1	0.2	0.7	1.2
323	0.1	0.2	0.7	1.25
324	0.1	0.2	0.75	1.3
325	0.1	0.2	0.8	1.4
326	0.1	0.2	0.8	1.45
327	0.1	0.2	0.8	1.4
328	0.1	0.2	0.8	1.35
329	0.1	0.2	0.8	1.35
330	0.1	0.2	0.85	1.35
331	0.1	0.2	1	1.35
332	0.1	0.2	1	1.4
333	0.1	0.2	1.05	1.4
334	0.1	0.2	1.05	1.4
335	0.1	0.2	1.05	1.4
336	0.1	0.2	1.05	1.35
337	0.1	0.2	1.05	1.3
338	0.1	0.3	1.05	1.3
339	0.1	0.3	0.9	1.3
340	0.1	0.3	0.8	1.3
341	0.1	0.3	0.8	1.15
342	0.1	0.3	0.8	1.15
343	0.1	0.3	0.8	1.15
344	0.1	0.3	0.8	1.1
