#1
float Setpoints(3024,3)
384 0.34032000 0.84635000
385 0.34058000 0.84667000
386 0.34084000 0.84700000
387 0.34110000 0.84732000
388 0.34137000 0.84764000
389 0.34164000 0.84796000
390 0.34190000 0.84827000
391 0.34218000 0.84859000
392 0.34245000 0.84890000
393 0.34273000 0.84922000
394 0.34300000 0.84953000
395 0.34328000 0.84984000
396 0.34357000 0.85014000
397 0.34385000 0.85045000
398 0.34414000 0.85075000
399 0.34443000 0.85105000
400 0.34472000 0.85135000
401 0.34501000 0.85165000
402 0.34530000 0.85194000
403 0.34560000 0.85223000
404 0.34590000 0.85252000
405 0.34620000 0.85281000
406 0.34650000 0.85309000
407 0.34680000 0.85338000
408 0.34710000 0.85366000
409 0.34741000 0.85394000
410 0.34772000 0.85421000
411 0.34803000 0.85448000
412 0.34834000 0.85476000
413 0.34865000 0.85502000
414 0.34897000 0.85529000
415 0.34928000 0.85556000
416 0.34960000 0.85582000
417 0.34992000 0.85608000
418 0.35024000 0.85633000
419 0.35056000 0.85659000
420 0.35088000 0.85684000
421 0.35120000 0.85709000
422 0.35153000 0.85734000
423 0.35185000 0.85759000
424 0.35218000 0.85783000
425 0.35251000 0.85807000
426 0.35284000 0.85831000
427 0.35317000 0.85855000
428 0.35350000 0.85879000
429 0.35383000 0.85902000
430 0.35417000 0.85925000
431 0.35450000 0.85948000
432 0.35484000 0.85971000
433 0.35517000 0.85993000
434 0.35551000 0.86016000
435 0.35585000 0.86038000
436 0.35619000 0.86060000
437 0.35653000 0.86082000
438 0.35687000 0.86103000
439 0.35721000 0.86125000
440 0.35756000 0.86146000
441 0.35790000 0.86167000
442 0.35825000 0.86188000
443 0.35859000 0.86209000
444 0.35894000 0.86230000
445 0.35929000 0.86250000
446 0.35964000 0.86270000
447 0.35998000 0.86290000
448 0.36033000 0.86310000
449 0.36068000 0.86330000
450 0.36104000 0.86350000
451 0.36139000 0.86370000
452 0.36174000 0.86389000
453 0.36209000 0.86408000
454 0.36245000 0.86427000
455 0.36280000 0.86446000
456 0.36316000 0.86465000
457 0.36351000 0.86484000
458 0.36387000 0.86502000
459 0.36423000 0.86521000
460 0.36458000 0.86539000
461 0.36494000 0.86557000
462 0.36530000 0.86576000
463 0.36566000 0.86594000
464 0.36602000 0.86611000
465 0.36638000 0.86629000
466 0.36674000 0.86647000
467 0.36710000 0.86664000
468 0.36746000 0.86682000
469 0.36783000 0.86699000
470 0.36819000 0.86716000
471 0.36855000 0.86733000
472 0.36892000 0.86750000
473 0.36928000 0.86767000
474 0.36964000 0.86784000
475 0.37001000 0.86801000
476 0.37038000 0.86817000
477 0.37074000 0.86834000
478 0.37111000 0.86850000
479 0.37147000 0.86866000
480 0.37184000 0.86883000
481 0.37221000 0.86899000
482 0.37258000 0.86915000
483 0.37295000 0.86931000
484 0.37331000 0.86947000
485 0.37368000 0.86962000
